,redox,azo,ybc,C,T,AMPS,fe,[n]
38,1.11940298507463,1.11940298507463,1.11940298507463,1.34,20,30,2.0,251.0
41,0.0111731843575419,0.0,0.111731843575419,1.79,20,30,0.5,1769.0
4,0.00091324200913242,0.91324200913242,0.0091324200913242,2.19,15,10,0.0,947.0
138,0.0138888888888889,0.0972222222222222,0.0,1.8,5,50,5.0,1797.0
32,0.0,0.00980392156862745,0.980392156862745,3.57,15,20,0.5,408.0
144,0.0833333333333333,0.0347222222222222,0.0,1.8,5,50,3.0,1734.0
109,0.009138,0.0913838120104439,0.0,3.83,20,10,1.0,2432.0
68,0.0125,0.00125,0.0,2.4,15,40,2.0,2234.0
10,0.0,0.914634146341463,0.0914634146341463,3.28,5,10,1.0,1146.0
96,0.00914634146341463,0.000914634146341463,0.000914634146341463,1.64,5,10,0.5,1200.0
111,0.103448275862069,0.0431034482758621,0.0,1.45,5,75,5.0,1200.0
0,0.00914634146341463,0.00914634146341463,0.00914634146341463,1.64,10,10,1.0,1120.0
122,0.00299666666666667,0.00599333333333333,0.0,1.66852057842047,15,80,0.2,1318.63182712561
123,0.0119866666666667,0.0,0.0,1.66852057842047,15,80,0.2,1020.11050680825
64,0.00125,0.0125,0.125,2.0,0,40,2.0,1100.0
44,0.00112107623318386,0.0112107623318386,0.112107623318386,2.23,0,30,2.0,1330.0
146,0.0277777777777778,0.0416666666666667,0.0,1.8,5,50,5.0,1777.0
28,0.0,0.980392156862745,0.0980392156862745,3.06,5,20,1.0,1292.0
40,0.00111731843575419,1.11731843575419,0.0111731843575419,1.79,15,30,0.0,2199.0
114,0.00105,0.042,0.00105,2.38095238095238,17,25,0.2,2076.48000058533
25,0.000980392156862745,0.00980392156862745,0.0980392156862745,2.55,0,20,2.0,996.0
23,0.0980392156862745,0.000980392156862745,0.980392156862745,2.04,0,20,1.0,726.0
119,0.00778,0.006224,0.003112,3.2133676092545,10,5,0.2,1808.29847099356
81,0.0138888888888889,0.0,0.138888888888889,1.44,20,50,0.5,1500.0
79,0.0,0.138888888888889,0.00138888888888889,1.44,10,50,2.0,2500.0
39,0.0,0.111731843575419,0.00111731843575419,1.79,10,30,2.0,1552.0
90,1.38888888888889,0.138888888888889,0.0138888888888889,2.16,0,50,0.5,250.0
108,0.000913838120104439,0.00913838120104439,0.913838120104439,3.83,15,10,0.5,368.0
160,0.075,0.03125,0.25,2.0,5,40,1.0,1656.0
137,0.0833333333333333,0.0347222222222222,0.277777777777778,1.8,5,50,5.0,1805.0
47,0.0,1.11940298507463,0.111940298507463,2.68,5,30,1.0,1626.0
124,0.00277,0.00554,0.0,1.80505415162455,15,70,0.2,1131.77794186934
61,0.0125,0.0,0.125,1.6,20,40,0.5,1600.0
73,0.0125,1.25,0.00125,2.8,0,40,1.5,1637.0
33,0.00980392156862745,0.980392156862745,0.000980392156862745,3.57,0,20,1.5,2606.0
112,0.0630252100840336,0.0262605042016807,0.0,2.38,5,25,2.0,1555.0
120,0.00310932475884244,0.00621864951768489,0.0,1.60806618407446,15,90,0.3,1192.5869961603
128,0.0071,0.0142,0.00355,2.8169014084507,10,0,0.2,838.064869536031
62,0.125,0.00125,1.25,1.6,0,40,1.0,616.0
163,0.075,0.03125,0.0,2.0,5,40,6.0,1614.0
100,0.0091324200913242,0.91324200913242,0.0091324200913242,2.19,15,10,0.0,2163.0
104,0.457875457875458,0.915750915750916,0.0,2.73,10,10,0.5,435.0
53,0.0111821086261981,1.11821086261981,0.00111821086261981,3.13,0,30,1.5,2405.0
5,0.0091324200913242,0.0,0.091324200913242,2.19,20,10,0.5,1897.0
118,0.001556,0.003112,0.000778,3.2133676092545,10,5,0.2,541.054153894344
127,0.0,0.1526,0.0,1.96592398427261,15,60,0.0,1016.28138799641
152,0.0138888888888889,0.0833333333333333,0.0416666666666667,1.8,5,50,2.0,1555.0
49,0.111940298507463,0.0111940298507463,0.00111940298507463,2.68,20,30,0.0,494.0
35,0.980392156862745,0.000980392156862745,0.0980392156862745,3.57,10,20,0.0,300.0
80,0.00138888888888889,1.38888888888889,0.0138888888888889,1.44,15,50,0.0,1675.0
77,0.138888888888889,0.138888888888889,0.138888888888889,1.08,15,50,1.5,965.0
34,0.0980392156862745,0.0,0.00980392156862745,3.57,5,20,2.0,1595.0
46,1.12107623318386,0.0,0.00112107623318386,2.23,15,30,1.0,247.0
7,0.91324200913242,0.0091324200913242,0.0,2.19,5,10,1.5,239.0
43,1.11731843575419,0.0111731843575419,0.0,1.79,5,30,1.5,142.0
70,1.25,0.125,0.0125,2.4,0,40,0.5,227.0
125,0.0,0.1662,0.0,1.80505415162455,15,70,0.0,740.545675301757
110,0.456919060052219,0.0,0.00913838120104439,3.83,5,10,2.0,357.0
91,0.0,0.0138888888888889,1.38888888888889,2.52,15,50,0.5,230.0
83,1.38888888888889,0.0138888888888889,0.0,1.44,5,50,1.5,330.0
147,0.0277777777777778,0.0416666666666667,0.111111111111111,1.8,5,50,5.0,1947.0
148,0.0833333333333333,0.0347222222222222,0.0555555555555556,1.8,5,50,2.0,1896.0
89,0.138888888888889,0.0138888888888889,0.00138888888888889,2.16,20,50,0.0,1781.0
8,0.000915750915750916,0.00915750915750916,0.0915750915750916,2.73,0,10,2.0,1183.0
157,0.075,0.03125,0.0,2.0,5,40,1.0,1656.0
113,0.0172413793103448,0.0689655172413793,0.0,1.45,5,75,2.0,1705.0
13,0.0,0.00913838120104439,0.913838120104439,3.83,15,10,0.5,369.0
59,0.0,0.125,0.00125,1.6,10,40,2.0,2393.0
140,0.0833333333333333,0.0347222222222222,0.0,1.8,5,50,2.0,1896.0
3,0.0,0.091324200913242,0.00091324200913242,2.19,10,10,2.0,927.0
17,0.00980392156862745,0.00980392156862745,0.00980392156862745,1.53,10,20,1.0,2666.0
72,0.00125,0.125,0.0,2.8,20,40,1.0,1963.0
143,0.0833333333333333,0.0347222222222222,0.0,1.8,5,50,1.0,1654.5
136,0.0206611570247934,0.0826446280991736,0.0,1.21,5,100,2.0,1386.0
150,0.0138888888888889,0.0555555555555556,0.0277777777777778,1.8,5,50,2.0,1919.5
63,1.25,0.0125,0.0,1.6,5,40,1.5,314.0
54,0.111821086261981,0.0,0.0111821086261981,3.13,5,30,2.0,1490.0
107,0.457317073170732,0.00914634146341463,0.000914634146341463,3.28,20,10,0.0,2084.0
50,1.11940298507463,0.111940298507463,0.0111940298507463,2.68,0,30,0.5,156.0
162,0.075,0.03125,0.0,2.0,5,40,5.0,1720.0
58,1.25,1.25,1.25,1.2,20,40,2.0,149.0
48,0.0111940298507463,0.00111940298507463,0.0,2.68,15,30,2.0,2400.0
88,0.0138888888888889,0.00138888888888889,0.0,2.16,15,50,2.0,2161.0
21,0.000980392156862745,0.980392156862745,0.00980392156862745,2.04,15,20,0.0,2174.0
57,0.125,0.125,0.125,1.2,15,40,1.5,1535.0
159,0.05,0.03125,0.25,2.0,5,40,1.0,1755.0
129,0.0,0.071,0.00355,2.8169014084507,10,0,0.2,905.812481869346
37,0.111940298507463,0.111940298507463,0.111940298507463,1.34,15,30,1.5,1200.0
155,0.0138888888888889,0.0555555555555556,0.0,1.8,5,50,1.0,1925.3
1,0.0914634146341463,0.0914634146341463,0.0914634146341463,1.64,15,10,1.5,1385.0
52,0.00111821086261981,0.111821086261981,0.0,3.13,20,30,1.0,2022.0
149,0.0833333333333333,0.05,0.0,1.8,5,50,2.0,1754.0
130,0.0028735632183908,0.0229885057471264,0.0,1.74,5,75,0.2,1101.0
151,0.0555555555555556,0.0416666666666667,0.0,1.8,5,50,2.0,1814.0
103,0.0915750915750916,0.0915750915750916,0.915750915750916,2.73,5,10,0.0,1541.0
99,0.00091324200913242,0.091324200913242,0.00091324200913242,2.19,10,10,2.0,3068.0
116,0.00105,0.0042,0.00021,2.38095238095238,15,25,0.2,2056.09225076216
87,0.0,1.38888888888889,0.138888888888889,2.16,5,50,1.0,1153.0
74,0.125,0.0,0.0125,2.8,5,40,2.0,783.0
121,0.0124372990353698,0.0124372990353698,0.0,1.60806618407446,15,90,0.2,939.384817635656
164,0.075,0.03125,0.0,2.0,10,40,2.0,2093.0
20,0.0,0.0980392156862745,0.000980392156862745,2.04,10,20,2.0,3238.0
71,0.0,0.0125,1.25,2.8,15,40,0.5,485.0
106,0.00914634146341463,0.0,0.914634146341463,3.28,10,10,1.5,580.0
14,0.00913838120104439,0.913838120104439,0.000913838120104439,3.83,0,10,1.5,2074.0
92,0.00138888888888889,0.138888888888889,0.0,2.52,20,50,1.0,1200.0
102,0.00915750915750916,0.00915750915750916,0.0915750915750916,2.73,0,10,2.0,1500.0
