,redox,azo,ybc,C,T,AMPS,fe,R-AMPS
7,0.91324200913242,0.0091324200913242,0.0,2.19,5,10,1.5,10.0
43,1.11731843575419,0.0111731843575419,0.0,1.79,5,30,1.5,24.0
70,1.25,0.125,0.0125,2.4,0,40,0.5,40.0
125,0.00254333333333333,0.00508666666666667,0.0,1.96592398427261,15,60,0.2,60.0
110,0.103448275862069,0.0431034482758621,0.0,1.45,5,75,5.0,75.0
91,0.0,0.0138888888888889,1.38888888888889,2.52,15,50,0.5,37.5
83,1.38888888888889,0.0138888888888889,0.0,1.44,5,50,1.5,50.0
147,0.0833333333333333,0.0347222222222222,0.0555555555555556,1.8,5,50,2.0,50.0
148,0.0833333333333333,0.05,0.0,1.8,5,50,2.0,50.0
89,0.138888888888889,0.0138888888888889,0.00138888888888889,2.16,20,50,0.0,50.0
8,0.000915750915750916,0.00915750915750916,0.0915750915750916,2.73,0,10,2.0,9.0
156,0.075,0.03125,0.0,2.0,5,40,1.0,40.0
113,0.00105,0.042,0.00105,2.38095238095238,17,25,0.2,25.0
13,0.0,0.00913838120104439,0.913838120104439,3.83,15,10,0.5,6.1
59,0.0,0.125,0.00125,1.6,10,40,2.0,36.0
140,0.0555555555555556,0.0347222222222222,0.111111111111111,1.8,5,50,2.0,50.0
3,0.0,0.091324200913242,0.00091324200913242,2.19,10,10,2.0,10.0
17,0.00980392156862745,0.00980392156862745,0.00980392156862745,1.53,10,20,1.0,9.3
72,0.00125,0.125,0.0,2.8,20,40,1.0,40.0
143,0.0833333333333333,0.0347222222222222,0.0,1.8,5,50,3.0,50.0
136,0.0833333333333333,0.0347222222222222,0.277777777777778,1.8,5,50,5.0,50.0
150,0.0555555555555556,0.0416666666666667,0.0,1.8,5,50,2.0,50.0
63,1.25,0.0125,0.0,1.6,5,40,1.5,40.0
54,0.111821086261981,0.0,0.0111821086261981,3.13,5,30,2.0,30.0
107,0.000913838120104439,0.00913838120104439,0.913838120104439,3.83,15,10,0.5,10.0
50,1.11940298507463,0.111940298507463,0.0111940298507463,2.68,0,30,0.5,30.0
161,0.075,0.03125,0.0,2.0,5,40,5.0,40.0
58,1.25,1.25,1.25,1.2,20,40,2.0,40.0
48,0.0111940298507463,0.00111940298507463,0.0,2.68,15,30,2.0,30.0
88,0.0138888888888889,0.00138888888888889,0.0,2.16,15,50,2.0,50.0
21,0.000980392156862745,0.980392156862745,0.00980392156862745,2.04,15,20,0.0,20.0
57,0.125,0.125,0.125,1.2,15,40,1.5,36.0
158,0.05,0.03125,0.25,2.0,5,40,1.0,40.0
129,0.0028735632183908,0.0229885057471264,0.0,1.74,5,75,0.2,75.0
37,0.111940298507463,0.111940298507463,0.111940298507463,1.34,15,30,1.5,28.0
154,0.0138888888888889,0.0555555555555556,0.0,1.8,5,50,1.0,50.0
1,0.0914634146341463,0.0914634146341463,0.0914634146341463,1.64,15,10,1.5,10.0
52,0.00111821086261981,0.111821086261981,0.0,3.13,20,30,1.0,30.0
149,0.0138888888888889,0.0555555555555556,0.0277777777777778,1.8,5,50,2.0,50.0
130,0.028735632183908,0.0,0.0,1.74,5,75,0.2,75.0
103,0.0915750915750916,0.0915750915750916,0.915750915750916,2.73,5,10,0.0,10.0
99,0.00091324200913242,0.091324200913242,0.00091324200913242,2.19,10,10,2.0,10.0
116,0.0042,0.0084,0.0021,2.38095238095238,20,25,0.2,25.0
87,0.0,1.38888888888889,0.138888888888889,2.16,5,50,1.0,50.0
74,0.125,0.0,0.0125,2.8,5,40,2.0,40.0
121,0.00299666666666667,0.00599333333333333,0.0,1.66852057842047,15,80,0.2,80.0
163,0.075,0.03125,0.0,2.0,10,40,2.0,40.0
20,0.0,0.0980392156862745,0.000980392156862745,2.04,10,20,2.0,20.0
71,0.0,0.0125,1.25,2.8,15,40,0.5,15.0
106,0.457317073170732,0.00914634146341463,0.000914634146341463,3.28,20,10,0.0,10.0
14,0.00913838120104439,0.913838120104439,0.000913838120104439,3.83,0,10,1.5,10.0
92,0.00138888888888889,0.138888888888889,0.0,2.52,20,50,1.0,50.0
102,0.00915750915750916,0.00915750915750916,0.0915750915750916,2.73,0,10,2.0,10.0
